ï»¿,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This is an analytics report and currently we support downloading top 8000 listings by sold quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ Any fees charged or credits applied to these listings outside this time range are not included in this report.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ You had $164.48 of account level fees during this time period. Here is the breakdown of these fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription fees = $164.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
"â¢ For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report for Jan 1, 2024 to Sep 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
MARY KAY 3D TIMEWISE AGE MINIMIZE~YOU CHOOSE~SKIN CLEANSER~DAY~NIGHT~EYE CREAM!,364499251357,Other,-,16,$640.39,$598.69,$0.00,$41.70,$0.00,$139.53,$0.00,$0.00,$89.52,$52.62,$7.16,$0.00,$0.00,$0.00,$0.00,$0.00,$9.77,$0.00,$459.16,$40.02,15,0,0
AFNAN 9AM DIVE EAU DE PARFUM SPRAY UNISEX 3.4 Oz / 100 Ml - SALE!!,364528468079,Other,-,12,$373.03,$352.44,$0.00,$20.59,$0.00,$96.84,$0.00,$0.00,$48.78,$3.07,$0.00,$0.00,$0.00,$0.50,$0.00,$0.00,$0.00,$44.49,$255.60,$31.09,3,3,0
Item ID 364513499614,364513499614,Other,-,7,$259.98,$258.47,$0.00,$1.51,$0.00,$49.82,$0.00,$0.00,$33.61,$16.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$208.65,$37.14,5,0,0
Tracfone Orbic Journey V (2) + 1 Year of Service with 1200 MIN/1200 TXT/1200MB,364611958080,Other,-,7,$435.91,$400.64,$0.00,$35.27,$0.00,$74.12,$0.00,$0.00,$47.28,$26.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$326.52,$62.27,5,0,0
"Essence de Beaute Collagen & Vitamin E Face and Body Cream, 4oz FREE SHIPPING",364499251684,Other,-,5,$373.41,$342.00,$0.00,$25.41,$6.00,$71.34,$0.00,$0.00,$47.42,$23.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$276.66,$74.68,4,0,0
"SprayMax 3680061, 2K Urethane Glamour Clear Coat, Aerosol",364637945201,Other,-,5,$171.07,$158.30,$0.00,$12.77,$0.00,$29.90,$0.00,$0.00,$21.02,$8.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$128.40,$34.21,4,0,0
BHARARA KING men 3.4 Oz Eau de Parfum spray PRIORITY SHIPPING,364625562213,Other,-,4,$366.31,$340.16,$0.00,$26.15,$0.00,$61.34,$0.00,$0.00,$46.65,$14.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$278.82,$91.58,2,0,0
"Nature's Bounty,  Bone and Muscle, Magnesium 500mg, Coated Tablets 200 ct",364637945199,Other,-,4,$94.07,$92.53,$0.00,$1.54,$0.00,$17.62,$0.00,$0.00,$12.92,$4.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$74.91,$23.52,4,0,0
â Swiss Army Cologne for Men 3.4 oz Brand New Tester,364508657064,Other,-,3,$54.30,$50.00,$0.00,$4.30,$0.00,$15.36,$0.00,$0.00,$11.02,$4.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$34.64,$18.10,2,2,0
StriVectin Clinical Corrector Advanced Anti-aging Face Tint 1oz LIGHT 10/2017,364513500056,Other,-,3,$80.51,$75.17,$0.00,$5.34,$0.00,$17.39,$0.00,$0.00,$10.95,$6.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$57.78,$26.84,3,0,0
