ï»¿,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This is an analytics report and currently we support downloading top 8000 listings by sold quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ Any fees charged or credits applied to these listings outside this time range are not included in this report.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ You had $164.48 of account level fees during this time period. Here is the breakdown of these fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription fees = $164.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
"â¢ For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report for Jan 1, 2024 to Sep 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
"Nu Skin Epoch Sole Solution #Foot Treatment 4.2 fl oz SEALED, NEW STOCK",364594920197,Other,-,3,$90.11,$83.64,$0.00,$6.47,$0.00,$18.94,$0.00,$0.00,$11.73,$7.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$64.70,$30.04,3,0,0
Estee Lauder Micro Essence Treatment Lotuon with Bio-Ferment 13.5 Ounces,364786212853,Other,-,3,$95.10,$95.10,$0.00,$0.00,$0.00,$21.57,$0.00,$0.00,$12.54,$9.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$73.53,$31.70,3,0,0
Super Vitamin C Serum for Women Over 70: Reduce Wrinkles & Age Spots,364786518480,Other,-,3,$103.04,$96.50,$0.00,$6.54,$0.00,$23.72,$0.00,$0.00,$13.93,$9.79,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$72.78,$34.35,3,2,0
Philosophy Microdelivery Peel: Two-Step Resurfacing for Pores & Lines,364799911841,Other,-,3,$153.69,$143.64,$0.00,$10.05,$0.00,$34.53,$0.00,$0.00,$19.38,$9.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.62,$109.11,$51.23,3,0,0
Coach Dreams by Coach perfume for women EDP 3 / 3.0 oz New in Box,364499234602,Other,-,2,$154.87,$145.62,$0.00,$9.25,$0.00,$32.12,$0.00,$0.00,$19.73,$12.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$113.50,$77.44,2,0,0
Shiseido Benefiance Wrinkle Smoothing Cream  1.0oz/30ml New,364499250746,Other,-,2,$47.68,$44.04,$0.00,$3.64,$0.00,$10.30,$0.00,$0.00,$6.48,$3.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$33.74,$23.84,2,0,0
2 x NIB Charlotte Tilbury Charlotteâs Magic Cream 7ml / 0.2oz each,364499252065,Other,-,2,$82.29,$75.32,$0.00,$6.97,$0.00,$17.04,$0.00,$0.00,$10.46,$6.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$58.28,$41.15,2,0,0
CLARINS Super Restorative Rose Radiance Cream 1.7oz w/o box,364499253090,Other,-,2,$89.77,$83.17,$0.00,$6.60,$0.00,$18.87,$0.00,$0.00,$11.69,$7.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$64.30,$44.89,2,0,0
AFNAN SUPREMACY NOT ONLY INTENSE EXTRAIT DE PARFUM SPRAY FOR MEN 3.4 Oz / 100 ml,364513499065,Other,-,2,$99.18,$92.70,$0.00,$6.48,$0.00,$16.81,$0.00,$0.00,$12.84,$3.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.89,$49.59,1,0,0
Chloe by Chloe 4.2 oz EDP Perfume for Women New In Box,364513500706,Other,-,2,$314.73,$293.98,$0.00,$20.75,$0.00,$64.64,$0.00,$0.00,$39.47,$25.17,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$229.34,$157.37,2,0,0
New Original Motor Arm Replacement Accessories for DJI Mavic Air 2S Drone Parts,364611958219,Other,-,2,$106.43,$100.40,$0.00,$6.03,$0.00,$23.71,$0.00,$0.00,$13.44,$8.51,$0.00,$0.00,$0.00,$1.76,$0.00,$0.00,$0.00,$0.00,$76.69,$53.22,2,0,0
"AMD Ryzen 5 3600 Processor: 6-Core, 12-Thread with Wraith Stealth Cooler",364622058278,Other,-,2,$308.62,$283.70,$0.00,$24.92,$0.00,$46.99,$0.00,$0.00,$22.30,$24.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$236.71,$154.31,2,0,0
"CHI Helmet Head Extra Firm Hairspray, 10 oz",364623538568,Other,-,2,$43.61,$40.64,$0.00,$2.97,$0.00,$9.48,$0.00,$0.00,$5.99,$3.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$31.16,$21.81,2,0,0
"Conair Hair Dryer with Retractable Cord, 1875W Cord-Keeper Blow Dryer",364623545988,Other,-,2,$61.47,$57.12,$0.00,$4.35,$0.00,$13.11,$0.00,$0.00,$8.19,$4.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$44.01,$30.74,2,0,0
Anti Monkey Butt Powder with Calamine - 6 oz.,364641398722,Other,-,2,$56.76,$53.80,$0.00,$2.96,$0.00,$11.10,$0.00,$0.00,$7.41,$3.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.70,$28.38,2,0,0
"Crystal Light Concord Grape Drink Mix 6 Packets - Low Calorie, Sugar-Free",364786127796,Other,-,2,$16.04,$15.06,$0.00,$0.98,$0.00,$3.90,$0.00,$0.00,$2.38,$1.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.16,$8.02,2,0,0
"Murad 30-Day Resurgence Kit - 5-Piece Trial Set $123 Val - Cleanser, Eye Serum, ",364788627324,Other,-,2,$82.42,$76.94,$0.00,$5.48,$0.00,$24.10,$0.00,$0.00,$10.98,$7.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.62,$52.84,$41.21,2,0,0
"Premier Dead Sea Sensitive Skin Moisture Cream, Anti-Aging Day & Night Cream, 2.",364790646505,Other,-,2,$193.51,$179.38,$0.00,$14.13,$0.00,$24.70,$0.00,$0.00,$24.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$154.68,$96.76,0,0,0
Merlot Fine Lines Eye Cream with Shea Butter & Peptides,364790889739,Other,-,2,$65.85,$60.00,$0.00,$5.85,$0.00,$18.82,$0.00,$0.00,$8.53,$5.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.36,$41.18,$32.93,2,2,0
INTENSO by Dolce & Gabbana 4.2 oz EDP Cologne For Men NEW tester,364499226808,Other,-,1,$59.09,$55.22,$0.00,$3.87,$0.00,$12.33,$0.00,$0.00,$7.60,$4.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.89,$59.09,1,0,0
Marc Jacobs Daisy Eau So Fresh EDT 4.2 / 4.25 oz 125 mL BRAND NEW SEALED IN BOX,364499234702,Other,-,1,$52.28,$47.88,$0.00,$4.40,$0.00,$10.94,$0.00,$0.00,$6.76,$4.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$36.94,$52.28,1,0,0
"Mary Kay TimeWise Age Fighting Moisturizer Cream NORMAL TO DRY SKIN, NEW IN BOX",364499251296,Other,-,1,$80.24,$74.99,$0.00,$5.25,$0.00,$8.13,$0.00,$0.00,$10.21,$6.42,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.50,$0.00,$66.86,$80.24,1,0,0
ELIZABETH ARDEN Ceramide Lift & Firm Day Cream w/Sunscreen 1.7oz w/o box,364499252278,Other,-,1,$146.91,$133.86,$0.00,$13.05,$0.00,$31.09,$0.00,$0.00,$18.44,$11.75,$0.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$102.77,$146.91,1,0,0
New SkinMedica Neck Correct Cream - for Neck & Decollete 56.7G/2Oz Sealed US,364499253150,Other,-,1,$96.44,$82.14,$0.00,$7.08,$7.22,$19.93,$0.00,$0.00,$12.21,$7.72,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$69.43,$96.44,1,0,0
â Donna Karan Cashmere Mist 3.4 oz / 100ml Women Eau de Parfum Brand New Sea,364508665630,Other,-,1,$50.07,$47.08,$0.00,$2.99,$0.00,$10.49,$0.00,$0.00,$14.37,$8.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.81,$0.00,$36.59,$50.07,1,0,0
Sung Perfume by Alfred Sung 3.3 / 3.4 oz EDT For Women New box tester,364508665772,Other,-,1,$28.27,$25.93,$0.00,$2.34,$0.00,$6.05,$0.00,$0.00,$3.79,$2.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.88,$28.27,1,0,0
TATCHA The Rice Wash Face Cleanser 1.7 oz / 50 ml Travel Size,364513491995,Other,-,1,$32.10,$30.00,$0.00,$2.10,$0.00,$6.83,$0.00,$0.00,$4.26,$2.57,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$23.17,$32.10,1,1,0
Amber Oud Gold Edition by Al Haramain cologne for men EDP 2.0 oz New in Box,364513496274,Other,-,1,$65.89,$61.58,$0.00,$4.31,$0.00,$14.80,$0.00,$0.00,$8.44,$5.27,$0.00,$0.00,$0.00,$1.09,$0.00,$0.00,$0.00,$0.00,$46.78,$65.89,1,0,0
Quality Choice Rest Simply Nighttime Sleep Aid Caplets 100 ct,364513496384,Other,-,1,$19.16,$18.02,$0.00,$1.14,$0.00,$2.77,$0.00,$0.00,$2.77,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.25,$19.16,0,0,0
Le Male by Jean Paul Gaultier for Men 4.2 oz Eau De Toilette Spray,364513497357,Other,-,1,$87.11,$80.66,$0.00,$6.45,$0.00,$18.03,$0.00,$0.00,$11.06,$6.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$62.63,$87.11,1,0,0
NAUTICA BLUE by Nautica 3.4 oz EDT Cologne for Men New in Box,364513499027,Other,-,1,$21.64,$19.99,$0.00,$1.65,$0.00,$4.70,$0.00,$0.00,$2.97,$1.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.29,$21.64,1,0,0
3PCS Jawline Mouth Exerciser Jaw Exerciser Fitness Ball 40LB Neck Face Trainer,364513499859,Other,-,1,$55.65,$51.17,$0.00,$4.48,$0.00,$12.56,$0.00,$0.00,$7.27,$5.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$38.61,$55.65,1,0,0
"540 Titanium Micro Derma Roller 1.0 mm For Acne Scars Wrinkles ,Beard ,Hair Loss",364513500033,Other,-,1,$37.89,$35.00,$0.00,$2.89,$0.00,$8.68,$0.00,$0.00,$5.08,$3.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$26.32,$37.89,1,0,0
Eclat D'Arpege by Lanvin 3.3 / 3.4 oz EDP Perfume for Women New In Box,364513500606,Other,-,1,$184.66,$172.58,$0.00,$12.08,$0.00,$37.88,$0.00,$0.00,$23.11,$14.77,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$134.70,$184.66,1,0,0
Engine Oil Pan Gasket GM Parts 12612350,364612895411,Other,-,1,$38.13,$35.31,$0.00,$2.82,$0.00,$4.63,$0.00,$0.00,$4.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.68,$38.13,0,0,0
Z71 Offroad Truck Decals - 2014-2018 Bedside Stickers (Set of 2),364612992677,Other,-,1,$26.90,$25.50,$0.00,$1.40,$0.00,$5.50,$0.00,$0.00,$3.35,$2.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$26.90,1,0,0
GIGABYTE 2GB RAM DDR3 SDRAM Video Graphics Cards GV-N710D3-2GL REV2.0,364622059714,Other,-,1,$88.99,$82.21,$0.00,$6.78,$0.00,$15.43,$0.00,$0.00,$8.31,$7.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$66.78,$88.99,1,0,0
SanDisk 64GB X2 (128GB) MicroSD HC Ultra Uhs-1 Memory Card,364622065754,Other,-,1,$26.03,$24.24,$0.00,$1.79,$0.00,$2.64,$0.00,$0.00,$2.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.60,$26.03,0,0,0
"Energizer AA Batteries Double A Max Alkaline Battery, 24 Count",364622073783,Other,-,1,$29.48,$27.55,$0.00,$1.93,$0.00,$6.30,$0.00,$0.00,$3.94,$2.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.25,$29.48,1,0,0
"NYX Slim Lip Pencil, Espresso - Long-Lasting Lip Liner",364623531211,Other,-,1,$12.50,$12.50,$0.00,$0.00,$0.00,$2.94,$0.00,$0.00,$1.94,$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.56,$12.50,1,0,0
"OGILVIE, Perm, for Normal Hair, (ea.)",364623537278,Other,-,1,$26.31,$24.82,$0.00,$1.49,$0.00,$5.75,$0.00,$0.00,$3.65,$2.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.07,$26.31,1,0,0
"Revlon Compact Hair Dryer | 1875W Lightweight, Perfect for Travel (Black)",364623537593,Other,-,1,$19.73,$18.63,$0.00,$1.10,$0.00,$4.32,$0.00,$0.00,$2.74,$1.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$14.31,$19.73,1,0,0
"Clorox Concentrated Bleach Powder, 21.1 oz",364623540450,Other,-,1,$25.13,$23.71,$0.00,$1.42,$0.00,$5.41,$0.00,$0.00,$3.40,$2.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.30,$25.13,1,0,0
"Vera Wang Princess Hair and Body Mist, 8.4 fl Oz",364623541985,Other,-,1,$19.57,$18.29,$0.00,$1.28,$0.00,$4.39,$0.00,$0.00,$2.82,$1.57,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.90,$19.57,1,0,0
BFWood Bamboo Paddle Hairbrush with Bamboo Bristles for Massaging Scalp,364623547997,Other,-,1,$17.56,$16.04,$0.00,$1.52,$0.00,$3.87,$0.00,$0.00,$2.47,$1.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.17,$17.56,1,0,0
Gillette ProGlide Power Razor for Men: Handle + 1 Blade Refill,364623549202,Other,-,1,$25.93,$23.68,$0.00,$2.25,$0.00,$1.46,$0.00,$0.00,$3.50,$2.07,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.11,$0.00,$22.22,$25.93,1,0,0
Blue Seduction for Men by Antonio Banderas 3.4 oz EDT Cologne for Men New In Box,364625562199,Other,-,1,$32.86,$30.71,$0.00,$2.15,$0.00,$6.99,$0.00,$0.00,$4.36,$2.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$23.72,$32.86,1,0,0
Perfume for Men Valentine Milano Toilette 3.4 Fl.oz EDT Best Gift Fast Shipping,364625562212,Other,-,1,$26.94,$24.54,$0.00,$2.40,$0.00,$5.89,$0.00,$0.00,$3.73,$2.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.65,$26.94,1,0,0
Claiborne Sport by Liz Claiborne 3.4 oz EDC Cologne for Men New in Box,364625562215,Other,-,1,$0.00,$0.00,$0.00,$0.00,$0.00,$3.79,$0.00,$0.00,$3.79,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$3.79,$0.00,0,0,0
Paul Sebastian PS Cologne Spray 4.0 / 4 oz EDC For Men New in Box,364625562234,Other,-,1,$32.64,$29.84,$0.00,$2.80,$0.00,$7.04,$0.00,$0.00,$4.43,$2.61,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$22.80,$32.64,1,0,0
"Bumble and Bumble Hairdresser's Invisible Oil Conditioner for Unisex, 2 Ounce",364641372379,Other,-,1,$19.17,$18.09,$0.00,$1.08,$0.00,$3.92,$0.00,$0.00,$2.67,$1.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$14.17,$19.17,1,0,0
Anastasia Beverly Hills - Face Palette - Italian Summer,364641379499,Other,-,1,$52.13,$48.95,$0.00,$3.18,$0.00,$10.13,$0.00,$0.00,$6.74,$3.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$38.82,$52.13,1,0,0
"Summer's Eve Morning Paradise Daily Feminine Body Wash, pH Balanced, 15 fl oz.",364641383602,Other,-,1,$14.33,$13.17,$0.00,$1.16,$0.00,$3.00,$0.00,$0.00,$2.07,$0.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.17,$14.33,1,0,0
"REVLON One-Step Hair Dryer and Volumizer Hot Air Brush, Titanium Max Edition",364641394460,Other,-,1,$3.88,$0.00,$0.00,$3.88,$0.00,$15.79,$0.00,$0.00,$10.45,$5.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$15.79,$3.88,1,0,0
Hugo Boss Bottled Parfum 3.3 Fl Oz,364641403110,Other,-,1,$105.17,$98.75,$0.00,$6.42,$0.00,$13.29,$0.00,$0.00,$13.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$85.46,$105.17,0,0,0
"Victoria's Secret Fragrance Body Mist (Love Spell Sunkissed), 8.4 fl. oz.",364641519854,Other,-,1,$27.43,$25.52,$0.00,$1.91,$0.00,$3.69,$0.00,$0.00,$3.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.83,$27.43,0,0,0
Old Spice Swagger Gift Set,364641522134,Other,-,1,$26.96,$25.43,$0.00,$1.53,$0.00,$5.27,$0.00,$0.00,$3.63,$1.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.16,$26.96,1,0,0
"Blue Depths, Davidoff Cool Water Eau de Toilette Spray for Men, 2.5 oz.",364641531793,Other,-,1,$13.90,$12.93,$0.00,$0.97,$0.00,$2.87,$0.00,$0.00,$2.02,$0.85,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.06,$13.90,1,0,0
ESTEE LAUDER Beautiful Belle Eau de Parfum Spray 50 ml.,364641548154,Other,-,1,$27.45,$25.42,$0.00,$2.03,$0.00,$6.40,$0.00,$0.00,$3.79,$2.61,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.02,$27.45,1,0,0
DERMAL 16 - Collagen Essence Face Mask: Hydrating & Soothing Korean Spa Treatmen,364696960872,Other,-,1,$22.12,$20.32,$0.00,$1.80,$0.00,$4.58,$0.00,$0.00,$3.03,$1.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.74,$22.12,1,0,0
Fresh Rose Deep Hydration Strengthening Face Cream 1.6 oz,364777114168,Other,-,1,$51.14,$47.46,$0.00,$3.68,$0.00,$11.58,$0.00,$0.00,$19.84,$14.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$22.58,$0.00,$35.88,$51.14,1,0,0
"Rosarden BB Cream SPF Tinted Moisturizer, Medium, 1.5 Fl.Oz.",364777132298,Other,-,1,$29.92,$27.64,$0.00,$2.28,$0.00,$11.13,$0.00,$0.00,$4.10,$2.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,$16.51,$29.92,1,0,0
Dr. Jart+ BB Beauty Balm SPF 40 Light Medium 1.35 Oz,364784271202,Other,-,1,$0.00,$0.00,$0.00,$0.00,$0.00,$4.36,$0.00,$0.00,$12.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.31,$4.36,-$4.36,$0.00,0,0,0
"GENKI FOREST Grape Delight Sparkling Water, 11.15 fl oz, 24 pack",364786134832,Other,-,1,$46.95,$46.95,$0.00,$0.00,$0.00,$6.20,$0.00,$0.00,$6.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.75,$46.95,0,0,0
"Yoni Essential Oil Set, Natural Feminine Deodorant (1 fl oz)",364786149745,Other,-,1,$20.78,$19.42,$0.00,$1.36,$0.00,$4.84,$0.00,$0.00,$2.87,$1.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$14.58,$20.78,1,0,0
"Dr. Jart+ Cicapair Tiger Grass Correcting Cream, SPF 30",364786333268,Other,-,1,$36.27,$32.97,$0.00,$3.30,$0.00,$8.33,$0.00,$0.00,$4.88,$3.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.64,$36.27,1,0,0
"SPF 50 Skin Tone CC Cream for Mature Skin, Brightening Foundation & Primer",364786425683,Other,-,1,$29.83,$27.62,$0.00,$2.21,$0.00,$11.27,$0.00,$0.00,$4.08,$2.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.36,$16.35,$29.83,1,0,0
